topic,description,source,url,text
Number of people dying from HIV-related causes,WHO Global Health Observatory - Number of people dying from HIV-related causes,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000006,[WHO-GHO] Number of people dying from HIV-related causes: WHO Global Health Observatory - Number of people dying from HIV-related causes
Estimated number of pregnant women living with HIV,WHO Global Health Observatory - Estimated number of pregnant women living with HIV,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000020,[WHO-GHO] Estimated number of pregnant women living with HIV: WHO Global Health Observatory - Estimated number of pregnant women living with HIV
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,WHO Global Health Observatory - Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000021,[WHO-GHO] Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission: WHO Global Health Observatory - Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission
Estimated number of people (all ages) living with HIV,WHO Global Health Observatory - Estimated number of people (all ages) living with HIV,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000001,[WHO-GHO] Estimated number of people (all ages) living with HIV: WHO Global Health Observatory - Estimated number of people (all ages) living with HIV
Number of new HIV infections,WHO Global Health Observatory - Number of new HIV infections,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000026,[WHO-GHO] Number of new HIV infections: WHO Global Health Observatory - Number of new HIV infections
Estimated antiretroviral therapy coverage among people living with HIV (%),WHO Global Health Observatory - Estimated antiretroviral therapy coverage among people living with HIV (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_ARTCOVERAGE,[WHO-GHO] Estimated antiretroviral therapy coverage among people living with HIV (%): WHO Global Health Observatory - Estimated antiretroviral therapy coverage among people living with HIV (%)
Prevalence of overweight and obesity,WHO Global Health Observatory - Prevalence of overweight and obesity,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/EQ_OVERWEIGHTADULT,[WHO-GHO] Prevalence of overweight and obesity: WHO Global Health Observatory - Prevalence of overweight and obesity
Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,WHO Global Health Observatory - Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000015,[WHO-GHO] Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission: WHO Global Health Observatory - Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,WHO Global Health Observatory - Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000016,[WHO-GHO] Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission: WHO Global Health Observatory - Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
Number of suspected meningitis deaths reported,WHO Global Health Observatory - Number of suspected meningitis deaths reported,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MENING_1,[WHO-GHO] Number of suspected meningitis deaths reported: WHO Global Health Observatory - Number of suspected meningitis deaths reported
