topic,description,symptoms,prevention,treatment,source,text
Diabetes,"Diabetes là một bệnh mãn tính xảy ra khi tuyến tụy không sản xuất đủ insulin hoặc khi cơ thể không thể sử dụng hiệu quả insulin mà nó sản xuất ra. Các triệu chứng bao gồm: tiểu nhiều, khát nước, đói bụng, mệt mỏi, giảm cân không rõ nguyên nhân, chậm lành vết thương.","increased urination, excessive thirst, extreme hunger, unexplained weight loss, fatigue, blurred vision, slow-healing wounds","Maintain healthy weight, regular physical activity, healthy diet, avoid tobacco use",,WHO,"Diabetes: Diabetes là một bệnh mãn tính xảy ra khi tuyến tụy không sản xuất đủ insulin hoặc khi cơ thể không thể sử dụng hiệu quả insulin mà nó sản xuất ra. Các triệu chứng bao gồm: tiểu nhiều, khát nước, đói bụng, mệt mỏi, giảm cân không rõ nguyên nhân, chậm lành vết thương. Triệu chứng: increased urination, excessive thirst, extreme hunger, unexplained weight loss, fatigue, blurred vision, slow-healing wounds. Phòng ngừa: Maintain healthy weight, regular physical activity, healthy diet, avoid tobacco use"
Hypertension,"Tăng huyết áp (cao huyết áp) là tình trạng huyết áp trong động mạch cao hơn bình thường. Thường không có triệu chứng rõ ràng nhưng là yếu tố nguy cơ chính của bệnh tim mạch, đột quỵ, và bệnh thận.","headaches, shortness of breath, nosebleeds, chest pain, dizziness, vision changes","Reduce salt intake, healthy diet, regular exercise, limit alcohol, manage stress, maintain healthy weight",,WHO,"Hypertension: Tăng huyết áp (cao huyết áp) là tình trạng huyết áp trong động mạch cao hơn bình thường. Thường không có triệu chứng rõ ràng nhưng là yếu tố nguy cơ chính của bệnh tim mạch, đột quỵ, và bệnh thận. Triệu chứng: headaches, shortness of breath, nosebleeds, chest pain, dizziness, vision changes. Phòng ngừa: Reduce salt intake, healthy diet, regular exercise, limit alcohol, manage stress, maintain healthy weight"
Cardiovascular Diseases,"Bệnh tim mạch là nhóm các rối loạn của tim và mạch máu, bao gồm bệnh mạch vành, bệnh mạch máu não, bệnh động mạch ngoại biên, bệnh tim bẩm sinh. Là nguyên nhân tử vong hàng đầu toàn cầu.","chest pain, shortness of breath, pain in neck/jaw/throat/upper abdomen/back, numbness or weakness in legs or arms","Healthy diet, regular physical activity, avoid tobacco, limit alcohol, manage stress, regular health checkups",,WHO,"Cardiovascular Diseases: Bệnh tim mạch là nhóm các rối loạn của tim và mạch máu, bao gồm bệnh mạch vành, bệnh mạch máu não, bệnh động mạch ngoại biên, bệnh tim bẩm sinh. Là nguyên nhân tử vong hàng đầu toàn cầu. Triệu chứng: chest pain, shortness of breath, pain in neck/jaw/throat/upper abdomen/back, numbness or weakness in legs or arms. Phòng ngừa: Healthy diet, regular physical activity, avoid tobacco, limit alcohol, manage stress, regular health checkups"
Respiratory Infections,"Nhiễm trùng đường hô hấp là các bệnh nhiễm trùng ảnh hưởng đến đường thở, bao gồm cảm lạnh thông thường, cúm, viêm phổi, viêm phế quản. Có thể lây lan qua không khí hoặc tiếp xúc trực tiếp.","cough, sore throat, runny nose, fever, difficulty breathing, chest pain, fatigue, body aches","Hand hygiene, respiratory etiquette, vaccination, avoid close contact with sick people, wear masks in crowded places",,WHO,"Respiratory Infections: Nhiễm trùng đường hô hấp là các bệnh nhiễm trùng ảnh hưởng đến đường thở, bao gồm cảm lạnh thông thường, cúm, viêm phổi, viêm phế quản. Có thể lây lan qua không khí hoặc tiếp xúc trực tiếp. Triệu chứng: cough, sore throat, runny nose, fever, difficulty breathing, chest pain, fatigue, body aches. Phòng ngừa: Hand hygiene, respiratory etiquette, vaccination, avoid close contact with sick people, wear masks in crowded places"
Mental Health Disorders,"Rối loạn sức khỏe tâm thần bao gồm trầm cảm, lo âu, rối loạn lưỡng cực, tâm thần phân liệt và các rối loạn khác ảnh hưởng đến suy nghĩ, cảm xúc và hành vi.","persistent sadness, excessive worry, mood swings, changes in sleep or appetite, difficulty concentrating, withdrawal from activities, thoughts of self-harm","Regular exercise, healthy sleep habits, social connections, stress management, seek help early, avoid substance abuse",,WHO,"Mental Health Disorders: Rối loạn sức khỏe tâm thần bao gồm trầm cảm, lo âu, rối loạn lưỡng cực, tâm thần phân liệt và các rối loạn khác ảnh hưởng đến suy nghĩ, cảm xúc và hành vi. Triệu chứng: persistent sadness, excessive worry, mood swings, changes in sleep or appetite, difficulty concentrating, withdrawal from activities, thoughts of self-harm. Phòng ngừa: Regular exercise, healthy sleep habits, social connections, stress management, seek help early, avoid substance abuse"
Malaria,"Sốt rét là bệnh do ký sinh trùng plasmodium gây ra, lây truyền qua muỗi Anopheles cái. Phổ biến ở vùng nhiệt đới và cận nhiệt đới. Có thể nguy hiểm đến tính mạng nếu không được điều trị.","fever, chills, headache, nausea, vomiting, muscle pain, fatigue, sweating, abdominal pain","Use insecticide-treated bed nets, indoor spraying, antimalarial medications, wear protective clothing, use mosquito repellent",,WHO,"Malaria: Sốt rét là bệnh do ký sinh trùng plasmodium gây ra, lây truyền qua muỗi Anopheles cái. Phổ biến ở vùng nhiệt đới và cận nhiệt đới. Có thể nguy hiểm đến tính mạng nếu không được điều trị. Triệu chứng: fever, chills, headache, nausea, vomiting, muscle pain, fatigue, sweating, abdominal pain. Phòng ngừa: Use insecticide-treated bed nets, indoor spraying, antimalarial medications, wear protective clothing, use mosquito repellent"
Tuberculosis,"Lao (TB) là bệnh nhiễm trùng do vi khuẩn Mycobacterium tuberculosis gây ra, chủ yếu ảnh hưởng đến phổi nhưng cũng có thể ảnh hưởng đến các bộ phận khác. Lây lan qua không khí.","persistent cough lasting 3+ weeks, coughing up blood, chest pain, fatigue, weight loss, fever, night sweats, loss of appetite","BCG vaccination, good ventilation, respiratory hygiene, early detection and treatment, avoid close contact with TB patients",,WHO,"Tuberculosis: Lao (TB) là bệnh nhiễm trùng do vi khuẩn Mycobacterium tuberculosis gây ra, chủ yếu ảnh hưởng đến phổi nhưng cũng có thể ảnh hưởng đến các bộ phận khác. Lây lan qua không khí. Triệu chứng: persistent cough lasting 3+ weeks, coughing up blood, chest pain, fatigue, weight loss, fever, night sweats, loss of appetite. Phòng ngừa: BCG vaccination, good ventilation, respiratory hygiene, early detection and treatment, avoid close contact with TB patients"
HIV/AIDS,HIV (Human Immunodeficiency Virus) tấn công hệ thống miễn dịch. AIDS (Acquired Immunodeficiency Syndrome) là giai đoạn cuối của nhiễm HIV khi hệ miễn dịch bị suy yếu nghiêm trọng.,"fever, fatigue, swollen lymph nodes, sore throat, rash, muscle aches, night sweats, recurrent infections","Safe sex practices, use condoms, avoid sharing needles, HIV testing, pre-exposure prophylaxis (PrEP), post-exposure prophylaxis (PEP)",,WHO,"HIV/AIDS: HIV (Human Immunodeficiency Virus) tấn công hệ thống miễn dịch. AIDS (Acquired Immunodeficiency Syndrome) là giai đoạn cuối của nhiễm HIV khi hệ miễn dịch bị suy yếu nghiêm trọng. Triệu chứng: fever, fatigue, swollen lymph nodes, sore throat, rash, muscle aches, night sweats, recurrent infections. Phòng ngừa: Safe sex practices, use condoms, avoid sharing needles, HIV testing, pre-exposure prophylaxis (PrEP), post-exposure prophylaxis (PEP)"
Cancer,"Ung thư là sự phát triển bất thường của tế bào có thể xâm lấn hoặc lan sang các phần khác của cơ thể. Có nhiều loại ung thư khác nhau, mỗi loại có triệu chứng và phương pháp điều trị riêng.","unexplained weight loss, persistent fatigue, lumps or swelling, persistent pain, changes in bowel or bladder habits, unusual bleeding, persistent cough","Avoid tobacco, healthy diet, regular exercise, limit alcohol, sun protection, vaccination (HPV, Hepatitis B), regular screenings",,WHO,"Cancer: Ung thư là sự phát triển bất thường của tế bào có thể xâm lấn hoặc lan sang các phần khác của cơ thể. Có nhiều loại ung thư khác nhau, mỗi loại có triệu chứng và phương pháp điều trị riêng. Triệu chứng: unexplained weight loss, persistent fatigue, lumps or swelling, persistent pain, changes in bowel or bladder habits, unusual bleeding, persistent cough. Phòng ngừa: Avoid tobacco, healthy diet, regular exercise, limit alcohol, sun protection, vaccination (HPV, Hepatitis B), regular screenings"
Asthma,"Hen suyễn là bệnh mãn tính của đường hô hấp gây viêm và co thắt đường thở, dẫn đến khó thở, thở khò khè. Có thể được kích hoạt bởi dị ứng, ô nhiễm, hoặc vận động.","shortness of breath, chest tightness, wheezing, coughing especially at night or early morning, difficulty breathing","Avoid triggers (allergens, smoke, pollution), regular medications, maintain healthy weight, get vaccinated against flu, regular checkups",,WHO,"Asthma: Hen suyễn là bệnh mãn tính của đường hô hấp gây viêm và co thắt đường thở, dẫn đến khó thở, thở khò khè. Có thể được kích hoạt bởi dị ứng, ô nhiễm, hoặc vận động. Triệu chứng: shortness of breath, chest tightness, wheezing, coughing especially at night or early morning, difficulty breathing. Phòng ngừa: Avoid triggers (allergens, smoke, pollution), regular medications, maintain healthy weight, get vaccinated against flu, regular checkups"
